검색어,기사내용
뇌졸중,뇌졸중은 혈전이 생겨 뇌혈관을 막으면서 발생하는 뇌경색과 뇌혈관 벽의 약한 부분이 파열되는 뇌출혈로 나뉜다. 무엇보다 치료 골든타임을 놓치면 회복이 어렵고 생명까지 위협하는 질환인 만큼 예방 노력과 함께 조기 발견·대처가 중요하다. 뇌졸중이 갑자기 찾아온다지만 몇 가지 전조증상을 통해 어느 정도 예측이 가능하다. 양팔을 들었을 때 한쪽이 자꾸 내려가거나 버티기 어려운 경우 말이 잘 나오지 않고 발음이 어눌한 경우 시야가 흐려지고 어지러워 균형을 잡을 수 없는 경우 안면마비 등의 증세가 한 가지라도 발견된다면 바로 구급대에 전화하는 것이 현명하다.
뇌졸중,"건강보험심사평가원은 뇌졸중의 가장 흔한 전조증상으로 불을 끈 듯 시야가 잠시 차단되는 일을 들었다. 커튼을 친 듯 시야의 절반이 좁아지거나 신체 일부의 마비, 감각기능 저하도 일어날 수 있다. 또 말이 어눌해지거나 실어증이 생길 수 있고 말은 잘 하지만 타인의 말을 이해하기 어려울 수도 있다. 심한 경우 의식을 잃고 쓰러진다. 뇌졸중의 주요 원인은 고혈압, 당뇨, 고지혈증, 흡연, 가족력, 비만 등이다. 최근에는 항혈소판제 및 항응고제 등 잘못된 약 복용도 뇌졸중의 원인으로 꼽힌다."
뇌졸중,날이 쌀쌀해지면 혈관이 수축되면서 혈압이 높아져 건강한 사람도 주의가 필요하다. 이미 심뇌혈관질환 병력을 갖고 있다면 더욱 조심해야 한다. 추위에 갑자기 노출되면 혈압이 급격히 상승하면서 심혈관계에 부담이 가해져 증상이 악화될 수 있어서다. 심뇌혈관질환자가 겨울철 건강관리에 더욱 신경 써야 하는 이유다. 하지만 최근 심뇌혈관질환의 유병률이 더 늘어난 데다 사망률 역시 증가한 것으로 나타났다.
뇌졸중,"2021년도 국가사망원인통계를 보면, 지난해 한국인 5명 중 1명(19.6%)은 심근경색, 뇌졸중 등 심뇌혈관질환으로 사망했다. 이처럼 심뇌혈관질환은 사망으로 이어질 가능성이 크고, 살아남더라도 심각한 후유증이 남을 가능성이 커 적극적인 예방과 재발방지 노력이 필요하다. 심뇌혈관질환을 현명하게 예방·재발 관리할 수 있는 방법을 알아보자."
뇌졸중,"당뇨병 환자는 당뇨병이 없는 사람보다 심근경색과 뇌졸중, 암 등의 중증 합병증으로 사망할 위험이 평균 55% 높다는 분석이 나왔다. 대한당뇨병학회(이사장 원규장)는 6일 서울 스위스그랜드호텔에서 기자간담회를 열어 이런 내용의 '2022 당뇨병 팩트 시트'(Diabetes Fact Sheet)를 공개하고 당뇨병 관리의 중요성을 강조했다."
텍스트,"지난 9월 29일 메타(Meta, 구 페이스북)가 텍스트 명령어를 입력하면 짧은 영상을 생성하는 인공지능(AI) 시스템을 공개했다. ‘메이크어비디오(Make-A-Video)’라는 이름의 이번 AI는 ‘빨간 망토가 달린 슈퍼히어로 복장을 하고 하늘을 날고 있는 개’ 같은 텍스트가 입력되면 5초짜리 짧은 클립을 생성한다. 영상은 텍스트를 꽤 충실하게 재현하지만 약간 몽롱해 보이는 옛날 홈비디오 같은 느낌을 준다. 결과물이 다소 조잡해 보이기는 하지만 이번 AI 시스템은 다음에 등장할 생성형 AI의 모습을 미리 엿볼 기회를 제공했다. 텍스트로 영상을 생성하는 AI는 올해 큰 흥분을 불러일으켜 온 ‘텍스트로 이미지를 생성’하는 AI의 다음 단계가 될 것이 분명하다."
텍스트,How-To : 구글 문서에서 텍스트 상자를 만드는 3가지 방법
텍스트,텍스트를 이미지로 바꿔주는 인공지능(AI)을 둘러싼 저작권 논쟁
텍스트,페나키(Phenaki)는 텍스트를 바탕으로 동영상을 생성해주는 AI다. 그 뿐 아니라 정지 화면에 프롬프트를 더해 숏폼 동영상화하는 것도 가능하다. 제작자에 따르면 페나키는 텍스트에서 압축된 이산적 동영상 토큰을 생성해 시간적인 인과 모델을 도입해 가변 길이 영상을 제작하고 있다고 한다. 덧붙여 논문 자체는 아직 공식 학회지에 게재된 건 아니다.
텍스트,"드림퓨전은 이메진(Imagen)이라는 텍스트에서 이미지를 생성하는 확산 모델을 이용해 3D 모델을 만든다. 드림퓨전은 손실 함수를 최적화해 확산 모델에서 샘플을 생성하는 새로운 방법인 SDS(Score Distillation Sampling)를 채택해 3D 공간과 같은 모든 매개변수 공간에서 샘플을 최적화할 수 있다. SDS만으론 적절한 3D 모델을 생성할 수 있다지만 여기에 정규화나 최적화 전략을 추가해 지오메트리를 개선, 더 일관성 있는 NeRF 모델을 생성 가능하게 된다고 한다"
빅데이터,한국인 희귀 혈액암 ‘다발골수종’ 특화?빅데이터?첫 구축
빅데이터,"'코웨이 정수기'는 1989년 첫 제품 출시 이후 30년 넘게 압도적인 시장 점유율로 부동의 1위를 고수하고 있는 대한민국 대표 정수기 브랜드다. 현재 국내외 코웨이 렌탈 및 멤버십 회원은 2022년 상반기 기준 약 944만 계정에 달한다. 코웨이는 최근 디지털 기술이 생활 전반에 자리함에 따라 인공지능(AI), 사물인터넷(IoT) 등 첨단 기술을 접목한 제품 및 서비스 플랫폼 구축을 통해 환경가전 렌탈 비즈니스 사업의 진화를 이끌고 있다. 통합 정보기술(IT) 전담조직인 DX(Digital Transformation) 센터를 신설하여 빅데이터와 AI를 기반으로 사업 영역 전반의 디지털 전환을 가속화하고 있다."
빅데이터,"대학교 브랜드평판 2022년 10월 빅데이터 분석결과, 1위 서울대학교 2위 연세대학교 3위 고려대학교 순으로 분석되었다. ??한국기업평판연구소는 국내 소비자에게 사랑받는 대학교에 대한 브랜드 빅데이터 평판분석을 하였다. 대학교 브랜드평판 분석은 2022년 9월 11일부터 2022년 10월 11일까지의 브랜드 빅데이터 232,025,267개를 분석하였다. 지난 9월 대학교 브랜드 빅데이터 215,372,179개와 비교하면 7.73% 증가했다."
빅데이터,"포항시가 포스텍 인공지능연구원에서 포항의 데이터 산업 육성을 위한 ‘포항 빅데이터 AI혁신센터’를 개소하고, 포스텍·AI연구원·포항테크노파크와 함께 손잡고 데이터 산업 혁신생태계 조성에 나선다고 밝혔다. 13일, 시에 따르면 이날 개소식에는 이장식 포항시 부시장, 김무환 포스텍총장을 비롯한 지역의 주요 기관장 등 250여 명이 참석한 가운데, 1부 빅데이터의 잠재력과 역할에 대한 교육세미나에 이어, 2부 포항 빅데이터 AI 혁신센터 현판식이 개최됐다."
빅데이터,"한국기업평판연구소 구창환 소장은 ""보이그룹 브랜드평판 2022년 10월 빅데이터 분석결과, 방탄소년단 브랜드가 1위를 기록했다. 보이그룹 브랜드 카테고리는 지난 9월 브랜드 빅데이터 64,687,855개와 비교해보면 11.18% 줄어들었다."
